S(t),I(t),R(t),mortes,tempo(t)
0.0000,181.6648,268.3351,5.3667,85.0
0.0000,180.6326,269.3673,5.3873,85.5
0.0000,179.6063,270.3936,5.4079,86.0
0.0000,178.5858,271.4141,5.4283,86.5
0.0000,177.5711,272.4288,5.4486,87.0
0.0000,176.5622,273.4377,5.4688,87.5
0.0000,175.5590,274.4409,5.4888,88.0
0.0000,174.5615,275.4384,5.5088,88.5
0.0000,173.5697,276.4303,5.5286,89.0
0.0000,172.5835,277.4165,5.5483,89.5
0.0000,171.6029,278.3971,5.5679,90.0
0.0000,170.6279,279.3721,5.5874,90.5
0.0000,169.6584,280.3416,5.6068,91.0
0.0000,168.6944,281.3055,5.6261,91.5
0.0000,167.7359,282.2640,5.6453,92.0
0.0000,166.7829,283.2170,5.6643,92.5
0.0000,165.8353,284.1647,5.6833,93.0
0.0000,164.8930,285.1069,5.7021,93.5
0.0000,163.9561,286.0438,5.7209,94.0
0.0000,163.0246,286.9754,5.7395,94.5
0.0000,162.0983,287.9017,5.7580,95.0
0.0000,161.1773,288.8227,5.7765,95.5
0.0000,160.2615,289.7385,5.7948,96.0
0.0000,159.3509,290.6490,5.8130,96.5
0.0000,158.4455,291.5544,5.8311,97.0
0.0000,157.5452,292.4547,5.8491,97.5
0.0000,156.6501,293.3499,5.8670,98.0
0.0000,155.7600,294.2399,5.8848,98.5
0.0000,154.8750,295.1249,5.9025,99.0
0.0000,153.9951,296.0049,5.9201,99.5
0.0000,153.1201,296.8799,5.9376,100.0
0.0000,152.2501,297.7498,5.9550,100.5
0.0000,151.3851,298.6149,5.9723,101.0
0.0000,150.5249,299.4750,5.9895,101.5
0.0000,149.6697,300.3303,6.0066,102.0
0.0000,148.8193,301.1807,6.0236,102.5
0.0000,147.9737,302.0262,6.0405,103.0
0.0000,147.1329,302.8670,6.0573,103.5
0.0000,146.2970,303.7030,6.0741,104.0
0.0000,145.4657,304.5342,6.0907,104.5
0.0000,144.6392,305.3607,6.1072,105.0
0.0000,143.8174,306.1825,6.1237,105.5
0.0000,143.0003,306.9997,6.1400,106.0
0.0000,142.1878,307.8122,6.1562,106.5
0.0000,141.3799,308.6201,6.1724,107.0
0.0000,140.5766,309.4233,6.1885,107.5
0.0000,139.7778,310.2221,6.2044,108.0
0.0000,138.9836,311.0163,6.2203,108.5
0.0000,138.1940,311.8059,6.2361,109.0
0.0000,137.4088,312.5911,6.2518,109.5
0.0000,136.6281,313.3719,6.2674,110.0
0.0000,135.8518,314.1482,6.2830,110.5
0.0000,135.0799,314.9200,6.2984,111.0
0.0000,134.3124,315.6875,6.3138,111.5
0.0000,133.5492,316.4507,6.3290,112.0
0.0000,132.7904,317.2095,6.3442,112.5
0.0000,132.0359,317.9640,6.3593,113.0
0.0000,131.2858,318.7142,6.3743,113.5
0.0000,130.5398,319.4601,6.3892,114.0
0.0000,129.7981,320.2018,6.4040,114.5
0.0000,129.0606,320.9393,6.4188,115.0
0.0000,128.3273,321.6726,6.4335,115.5
0.0000,127.5982,322.4017,6.4480,116.0
0.0000,126.8732,323.1267,6.4625,116.5
0.0000,126.1523,323.8476,6.4770,117.0
0.0000,125.4356,324.5643,6.4913,117.5
0.0000,124.7229,325.2770,6.5055,118.0
0.0000,124.0142,325.9857,6.5197,118.5
0.0000,123.3096,326.6903,6.5338,119.0
0.0000,122.6090,327.3909,6.5478,119.5
